record_id,facility_name,discharge_point,date,flow_m3_day,discharge_duration_h,pH,COD_mg_L,BOD_mg_L,TSS_mg_L,ammonia_mg_L,nitrate_mg_L,phosphate_mg_L,oil_grease_mg_L,temperature_c,treatment_efficiency_pct,weather_condition,inspection_status,corrective_action_status,days_since_inspection
WW-001,GreenChem Industries,OUT-01,2026-09-01,4200,10,7.2,165,48,55,14,22,4.2,5.1,28,94,Dry,Passed,Closed,21
WW-002,MetroTextiles Plant,OUT-02,2026-09-01,7800,16,8.8,230,86,92,27,38,8.7,8.9,32,88,Moderate Rain,Needs Follow-up,In Progress,68
WW-003,Delta Metals Works,OUT-03,2026-09-02,11200,22,9.6,310,128,155,42,51,12.5,14.2,39,76,Heavy Rain,Overdue,Open,214
WW-004,BlueRiver Foods,OUT-01,2026-09-02,3500,8,6.8,120,35,42,9,18,3.2,4.0,26,96,Dry,Passed,Closed,15
WW-005,Sunrise Paper Mill,OUT-04,2026-09-03,6900,14,6.1,255,104,110,19,29,6.4,7.8,31,89,Moderate Rain,Needs Follow-up,In Progress,74
WW-006,Westline Chemicals,OUT-02,2026-09-03,12800,24,5.4,390,175,180,55,62,15.4,19.0,42,68,Storm,Failed,Open,245
WW-007,Harbour Plastics,OUT-01,2026-09-04,5100,12,7.6,190,58,67,16,26,5.0,6.2,30,92,Dry,Passed,Closed,34
WW-008,Evergreen Breweries,OUT-03,2026-09-04,4400,9,7.1,145,42,48,11,20,3.9,4.8,27,95,Dry,Passed,Closed,18
WW-009,NorthStar Engineering,OUT-05,2026-09-05,8200,18,8.2,275,112,118,31,44,9.6,11.0,34,84,Heavy Rain,Overdue,Open,192
WW-010,Crystal Pharma Works,OUT-02,2026-09-05,5900,13,7.9,205,72,78,24,33,7.1,8.0,30,91,Moderate Rain,Needs Follow-up,In Progress,61
WW-011,Apex Fertilizers,OUT-06,2026-09-06,13500,26,10.1,360,150,170,48,58,17.2,16.4,41,71,Storm,Failed,Open,276
WW-012,SilverLake Foods,OUT-01,2026-09-06,3000,7,6.7,105,29,36,7,16,2.8,3.6,25,97,Dry,Passed,Closed,12
WW-013,UrbanGlass Industries,OUT-04,2026-09-07,7300,15,8.9,245,94,101,28,41,9.1,9.8,33,86,Moderate Rain,Overdue,In Progress,183
WW-014,Prime Auto Components,OUT-03,2026-09-07,4700,11,7.4,178,51,60,13,24,4.6,5.5,29,93,Dry,Passed,Closed,29
WW-015,Coastal Chemicals,OUT-07,2026-09-08,11900,21,5.8,335,142,150,39,55,13.7,15.8,38,74,Heavy Rain,Failed,Open,228
WW-016,FreshPack Manufacturing,OUT-02,2026-09-08,5600,12,7.0,185,62,72,15,28,5.4,6.0,28,90,Dry,Needs Follow-up,In Progress,82
WW-017,IronPeak Foundry,OUT-05,2026-09-09,10100,20,9.4,295,120,130,35,48,11.8,12.5,37,80,Snowmelt,Overdue,Open,205
WW-018,ClearSpring Beverages,OUT-01,2026-09-09,2800,6,7.3,98,27,32,6,14,2.1,3.1,24,98,Dry,Passed,Closed,9
WW-019,MeadowTextile Works,OUT-04,2026-09-10,6400,14,6.4,220,81,89,23,36,7.8,8.5,31,87,Heavy Rain,Needs Follow-up,In Progress,69
WW-020,Vertex Electronics,OUT-03,2026-09-10,3900,9,7.7,130,38,45,10,19,3.5,4.2,27,95,Dry,Passed,Closed,25
WW-021,Riverbend Chemicals,OUT-06,2026-09-11,11600,23,9.3,325,138,142,44,57,14.1,15.0,40,73,Storm,Failed,Open,251
WW-022,GoldenGrain Foods,OUT-01,2026-09-11,4500,10,6.9,155,45,51,12,23,4.0,4.6,26,94,Dry,Passed,Closed,16
WW-023,Highland Cement Works,OUT-05,2026-09-12,8700,17,8.6,265,98,105,29,40,8.9,10.5,35,83,Moderate Rain,Overdue,Open,171
WW-024,Pacific Coatings Plant,OUT-02,2026-09-12,9800,19,6.0,285,115,125,33,46,10.7,12.1,36,81,Heavy Rain,Needs Follow-up,In Progress,103
WW-025,Sunfield Agro Industries,OUT-07,2026-09-13,5200,11,7.5,175,53,61,14,25,4.8,5.4,29,92,Dry,Passed,Closed,31
WW-026,Orion Specialty Chemicals,OUT-03,2026-09-13,13200,25,5.7,410,182,195,61,68,18.5,21.0,43,65,Storm,Failed,Open,298
WW-027,BluePeak Components,OUT-04,2026-09-14,6100,13,8.1,215,76,83,21,31,6.8,7.6,30,89,Snowmelt,Needs Follow-up,In Progress,88
WW-028,Central Dairy Processing,OUT-01,2026-09-14,3600,8,7.0,112,32,39,8,17,2.9,3.7,25,96,Dry,Passed,Closed,14
WW-029,Redwood Industrial Park,OUT-06,2026-09-15,7600,16,9.1,280,109,116,32,43,9.8,11.4,34,85,Moderate Rain,Overdue,Open,190
WW-030,EastGate Manufacturing,OUT-02,2026-09-15,4800,10,7.8,168,49,57,13,21,4.5,5.0,28,93,Dry,Passed,Closed,27
